,_id,url,title,description,keywords,topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED
953,bioportal-csp,https://lod-cloud.net/dataset/bioportal-csp,"CRISP Thesaurus, 2006",Computer Retrieval of Information on Scientific Projects (CRISP),biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,health / education,mainly from the keywords,"education is kept for scientific projects, even if the inclusion should be checked against the resource content",yes,
615,omwn-hrv,https://lod-cloud.net/dataset/omwn-hrv,Croatian WordNet (as part of Open Multilingual WordNet),The Croatian wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data  (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used  modified  and shared by anyone for any purpose.,lexicon; wordnet; lemon,linguistic,wordnet in the title,,,
556,doi,https://lod-cloud.net/dataset/doi,CrossRef DOI Resolver,"Digital Object Idenfiers (DOI) are a persistent identifier strategy used by around 3 000 publishers to identify their documents: mostly scholarly publications. An example of a DOI is    > doi:10.1038/171737a0    which identifies:    > Watson JD  Crick FH (April 1953). ""Molecular structure of nucleic acids; a structure for deoxyribose nucleic acid"" (PDF). Nature 171 (4356): 737?738.     [CrossRef](http://crossref.org) maintains one of the largest DOI registries  and has minted URLs for every DOI they manage. For example the DOI above can also be expressed as the URL:    > http://dx.doi.org/10.1038/171737a0    When resolved this URL will redirect to the publisher's page for the document that is identified. The dx.doi.org service will content negotiate to make available alternate representations of the citation metadata:    * application/rdf+xml  * text/turtle  * application/atom+xml  * application/unixref+xml (CrossRef's homegrown XML format)    For example:    > curl --location --header ""Accept: application/rdf+xml"" http://dx.doi.org/10.1038/171737a0    Detailed information about journals  pages  authors can be found in the data  as well as links to journals in the [Linked Periodicals](http://periodicals.dataincubator.org/.html) dataset. More about the service can be found on a CrossRef   [blog post](http://www.crossref.org/CrossTech/2011/04/content_negotiation_for_crossr.html).",academic; articles; citation; format-bibo; format-dc; format-prism; format-rdf; library; linkeddata; lld; lod; lodcloud-diagram-2014-08-30; no-deref-vocab; publications; published-by-producer,SLR,doi from title and abstract,slr,,
1378,crowdsourcing-fb,https://lod-cloud.net/dataset/crowdsourcing-fb,crowdsourcing-fb,Data extracted from facebook interest groups of roadkilled and moth observation.,biodiversity; crowd-sourced; ecology; lod; moth; roadkilled,not classified,,,,
415,ctic-public-dataset,https://lod-cloud.net/dataset/ctic-public-dataset,CTIC Public Dataset Catalogs,Overview of worldwide data catalogues.,deref-vocab; format-dcterms; format-foaf; format-rdf; geographic; government; license-metadata; lod; lodcloud-diagram-2014-08-30; no-provenance-metadata; no-vocab-mappings; published-by-producer,not classified,,inaccessible resource,,
91,cht,https://lod-cloud.net/dataset/cht,Cultural Heritage Thesaurus,Concepts that cover the cultural heritage field in the Netherlands.,cultural heritage; archaeology; Architecture; Arthistory; historical buildings,"cultural heritage, linguistic",from title-abstract-keyword,,,
1508,culturalinkeddata,https://lod-cloud.net/dataset/culturalinkeddata,CulturaLinkedData,The Spanish National Library (Biblioteca Nacional de España  BNE) and the Ontology Engineering Group of Universidad Politécnica de Madrid are working on the joint project “Preliminary Study of Linked Data”  whose aim is to enrich the Web of Data with the BNE authority and bibliographic records. To this end  they are transforming the BNE information to RDF following the Linked Data principles proposed by Tim Berners Lee.,deref-vocab; lod; lodcloud.nolinks; lodcloud.unconnected; media; published-by-third-party; spanish-national-library,cultural heritage,"library in the abstract, cultural in the title",,,
1572,bioportal-cpt,https://lod-cloud.net/dataset/bioportal-cpt,Current Procedural Terminology,Current Procedural Terminology,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,health,procedure in title and abstract might be related to health. biomedicine in the keywords confirmed it,,,
977,Nordine_Bittich,https://lod-cloud.net/dataset/Nordine_Bittich,Curriculum Vitae,curriculum vitae,,not classified,inaccessible resource,too generic to be considered education,yes,
970,czech_addresses,https://lod-cloud.net/dataset/czech_addresses,Czech addresses – Adresy v České republice,,bydlení; domestic policy; habitat; interior_ministry_czech_republic; meta.imported-from.cz.ckan.net; ministerstvo; ministerstvo_vnitra; ministry; public safety; residence; sídlo; veřejná bezpečnost; vnitřní politika,not classified - geography/government,from title-abstract-keyword,,,
810,cz-ic,https://lod-cloud.net/dataset/cz-ic,Czech Business Entity identification numbers and names,File with all Czech business entity names and their identification numbers,czech; czech republic; deref-vocab; format-adms; format-gr; format-schema; format-skos; government; license-metadata; lod; no-provenance-metadata; no-vocab-mappings; published-by-third-party,not classified - geography/government,from title-abstract-keyword,,,
5,cz-nkod,https://lod-cloud.net/dataset/cz-nkod,Czech National Open Data Catalog in DCAT-AP v1.1,The catalog can be browsed at https://data.gov.cz,Czech Republic; czech; format-dcat; format-dcterms; format-foaf; format-skos; format-spdx; format-vcard; government; license-metadata; lod; lodcloud.nolinks; lodcloud.unconnected; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-third-party,not classified - government,from title-abstract-keyword,,,
739,cz-nace,https://lod-cloud.net/dataset/cz-nace,Czech statistical classification of economic activities in the European Community (CZ-NACE),Czech statistical classification of economic activities in the European Community (CZ-NACE),czech; czech-republic; government; lod; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-producer,not classified - government,from title-abstract-keyword,,,
639,fu-berlin-dailymed,https://lod-cloud.net/dataset/fu-berlin-dailymed,DailyMed,The Linked Data version of DailyMed which is published by the National Library of Medicine  and provides high quality information about marketed drugs. DailyMed provides much information including general background on the chemical structure of the compound and its therapeutic purpose  details on the compound's clinical pharmacology  indication and usage  contraindications  warnings  precautions  adverse reactions  overdosage  and patient counseling.,deref-vocab; format-rdf; lifesciences; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-provenance-metadata; published-by-third-party; vocab-mappings; void-sparql-endpoint,health,"by the abstract. medicine, drugs, clinical pharmacology, patient are cited",,,
324,omwn-dan,https://lod-cloud.net/dataset/omwn-dan,DanNet WordNet (as part of Open Multilingual WordNet),The DanNet wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data  (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used  modified  and shared by anyone for any purpose.,lexicon; wordnet; lemon,linguistic,wordnet in the title,,,
890,DanteLatinLoanwords0000018b23f80e8e,https://lod-cloud.net/dataset/DanteLatinLoanwords,Dante Latin Loanwords in LiLa,This glossary linked to the LiLa Knowledge Base collects the Latin loanwords attested in the four Italian works by XIIIth Century writer and poet Dante Alighieri (Rime  Vita Nova  Convivio and Commedia),Latin; Lexicon; LLOD; LiLa; Dante,"linguistic, cultural heritage?",should it be considered cultural heritage?,,,yes
155,cz-ares-or,https://lod-cloud.net/dataset/cz-ares-or,Data about business entities from the ARES system - business registry of the Czech Republic,Business entities from ARES - business registry,czech; czech-republic; deref-vocab; format-adms; format-dcterms; format-gr; format-rov; format-schema; format-skos; government; license-metadata; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,not classified - government,from title-abstract-keyword,,,
896,cz-ares-rzp,https://lod-cloud.net/dataset/cz-ares-rzp,Data about Czech business entities from the ARES system - Trade Licensing Register,Data about Czech business entities from the ARES system - Trade Licensing Register,czech; czech-republic; deref-vocab; format-adms; format-dcterms; format-gr; format-rov; format-skos; government; license-metadata; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,not classified - government,from title-abstract-keyword,,,
